sample	strainID	genus	species	count
04AYA	HAMBI-2443	Paracoccus	denitrificans	0
04AYA	HAMBI-2467	Thermomonas	haemolytica	0
04AYA	HAMBI-2494	Paraburkholderia	kururiensis	206
04AYA	HAMBI-2659	Stenotrophomonas	maltophilia	12815
04AYA	HAMBI-2792	Moraxella	canis	0
04AYA	HAMBI-3031	Niabella	yanshanensis	0
04AYA	HAMBI-3172	Azospirillum	brasilense	1
04AYA	HAMBI-3237	Microvirga	lotononidis	0
04AYA	JE2571RP4	Escherichia	coli	2
04AYA	PsFluSBW25	Pseudomonas	fluorescens	1447
04AYB	HAMBI-0097	Acinetobacter	lwoffii	139
04AYB	HAMBI-0105	Agrobacterium	tumefaciens	1051
04AYB	HAMBI-0216	Azorhizobium	caulinodans	2
04AYB	HAMBI-0262	Brevundimonas	bullata	34
04AYB	HAMBI-0403	Comamonas	testosteroni	3519
04AYB	HAMBI-1279	Hafnia	alvei	1626
04AYB	HAMBI-1287	Citrobacter	koseri	144301
04AYB	HAMBI-1292	Morganella	morganii	16660
04AYB	HAMBI-1299	Kluyvera	intermedia	28357
04AYB	HAMBI-1842	Sphingobium	yanoikuyae	0
04AYB	HAMBI-1874	Sphingobacterium	multivorum	10
04AYB	HAMBI-1896	Sphingobacterium	spiritivorum	29
04AYB	HAMBI-1923	Myroides	odoratus	4562
04AYB	HAMBI-1966	Chitinophaga	filiformis	0
04AYB	HAMBI-1972	Aeromonas	caviae	39317
04AYB	HAMBI-1988	Chitinophaga	sancti	2
04AYB	HAMBI-1992	Phyllobacterium	myrsinacearum	219
04AYB	HAMBI-2159	Paraburkholderia	caryophylli	14
04AYB	HAMBI-2160	Bordetella	avium	353
04AYB	HAMBI-2164	Cupriavidus	necator	186
04AYB	HAMBI-2443	Paracoccus	denitrificans	0
04AYB	HAMBI-2467	Thermomonas	haemolytica	0
04AYB	HAMBI-2494	Paraburkholderia	kururiensis	188
04AYB	HAMBI-2659	Stenotrophomonas	maltophilia	7062
04AYB	HAMBI-2792	Moraxella	canis	18
04AYB	HAMBI-3031	Niabella	yanshanensis	0
04AYB	HAMBI-3172	Azospirillum	brasilense	39
04AYB	HAMBI-3237	Microvirga	lotononidis	3
04AYB	JE2571RP4	Escherichia	coli	19
04AYB	PsFluSBW25	Pseudomonas	fluorescens	4711
04AYC	HAMBI-0097	Acinetobacter	lwoffii	10
04AYC	HAMBI-0105	Agrobacterium	tumefaciens	2399
04AYC	HAMBI-0216	Azorhizobium	caulinodans	21
04AYC	HAMBI-0262	Brevundimonas	bullata	3
04AYC	HAMBI-0403	Comamonas	testosteroni	57
04AYC	HAMBI-1279	Hafnia	alvei	248
04AYC	HAMBI-1287	Citrobacter	koseri	60323
04AYC	HAMBI-1292	Morganella	morganii	1936
04AYC	HAMBI-1299	Kluyvera	intermedia	1022
04AYC	HAMBI-1842	Sphingobium	yanoikuyae	0
04AYC	HAMBI-1874	Sphingobacterium	multivorum	0
04AYC	HAMBI-1896	Sphingobacterium	spiritivorum	108
04AYC	HAMBI-1923	Myroides	odoratus	1156
04AYC	HAMBI-1966	Chitinophaga	filiformis	0
04AYC	HAMBI-1972	Aeromonas	caviae	202
04AYC	HAMBI-1988	Chitinophaga	sancti	1
04AYC	HAMBI-1992	Phyllobacterium	myrsinacearum	604
04AYC	HAMBI-2159	Paraburkholderia	caryophylli	4
04AYC	HAMBI-2160	Bordetella	avium	360
04AYC	HAMBI-2164	Cupriavidus	necator	56
04AYC	HAMBI-2443	Paracoccus	denitrificans	0
04AYC	HAMBI-2467	Thermomonas	haemolytica	0
04AYC	HAMBI-2494	Paraburkholderia	kururiensis	205
04AYC	HAMBI-2659	Stenotrophomonas	maltophilia	10667
04AYC	HAMBI-2792	Moraxella	canis	0
04AYC	HAMBI-3031	Niabella	yanshanensis	0
04AYC	HAMBI-3172	Azospirillum	brasilense	0
04AYC	HAMBI-3237	Microvirga	lotononidis	2
04AYC	JE2571RP4	Escherichia	coli	2
04AYC	PsFluSBW25	Pseudomonas	fluorescens	1173
04CNA	HAMBI-0097	Acinetobacter	lwoffii	249
04CNA	HAMBI-0105	Agrobacterium	tumefaciens	295
04CNA	HAMBI-0216	Azorhizobium	caulinodans	3
04CNA	HAMBI-0262	Brevundimonas	bullata	68
04CNA	HAMBI-0403	Comamonas	testosteroni	4871
04CNA	HAMBI-1279	Hafnia	alvei	1979
04CNA	HAMBI-1287	Citrobacter	koseri	126762
04CNA	HAMBI-1292	Morganella	morganii	12942
04CNA	HAMBI-1299	Kluyvera	intermedia	52450
04CNA	HAMBI-1842	Sphingobium	yanoikuyae	1
04CNA	HAMBI-1874	Sphingobacterium	multivorum	10
04CNA	HAMBI-1896	Sphingobacterium	spiritivorum	24
04CNA	HAMBI-1923	Myroides	odoratus	2172
04CNA	HAMBI-1966	Chitinophaga	filiformis	1
04CNA	HAMBI-1972	Aeromonas	caviae	89733
04CNA	HAMBI-1988	Chitinophaga	sancti	5
04CNA	HAMBI-1992	Phyllobacterium	myrsinacearum	277
04CNA	HAMBI-2159	Paraburkholderia	caryophylli	61
04CNA	HAMBI-2160	Bordetella	avium	1263
04CNA	HAMBI-2164	Cupriavidus	necator	554
04CNA	HAMBI-2443	Paracoccus	denitrificans	1
04CNA	HAMBI-2467	Thermomonas	haemolytica	1
04CNA	HAMBI-2494	Paraburkholderia	kururiensis	420
04CNA	HAMBI-2659	Stenotrophomonas	maltophilia	5590
04CNA	HAMBI-2792	Moraxella	canis	21
04CNA	HAMBI-3031	Niabella	yanshanensis	1
04CNA	HAMBI-3172	Azospirillum	brasilense	235
04CNA	HAMBI-3237	Microvirga	lotononidis	8
04CNA	JE2571RP4	Escherichia	coli	59
04CNA	PsFluSBW25	Pseudomonas	fluorescens	1333
04CNB	HAMBI-0097	Acinetobacter	lwoffii	377
04CNB	HAMBI-0105	Agrobacterium	tumefaciens	1294
04CNB	HAMBI-0216	Azorhizobium	caulinodans	7
04CNB	HAMBI-0262	Brevundimonas	bullata	146
04CNB	HAMBI-0403	Comamonas	testosteroni	3820
04CNB	HAMBI-1279	Hafnia	alvei	1584
04CNB	HAMBI-1287	Citrobacter	koseri	95615
04CNB	HAMBI-1292	Morganella	morganii	9986
04CNB	HAMBI-1299	Kluyvera	intermedia	36143
04CNB	HAMBI-1842	Sphingobium	yanoikuyae	2
04CNB	HAMBI-1874	Sphingobacterium	multivorum	15
04CNB	HAMBI-1896	Sphingobacterium	spiritivorum	24
04CNB	HAMBI-1923	Myroides	odoratus	2891
04CNB	HAMBI-1966	Chitinophaga	filiformis	2
04CNB	HAMBI-1972	Aeromonas	caviae	82636
04CNB	HAMBI-1988	Chitinophaga	sancti	7
04CNB	HAMBI-1992	Phyllobacterium	myrsinacearum	153
04CNB	HAMBI-2159	Paraburkholderia	caryophylli	61
04CNB	HAMBI-2160	Bordetella	avium	1007
04CNB	HAMBI-2164	Cupriavidus	necator	517
04CNB	HAMBI-2443	Paracoccus	denitrificans	0
04CNB	HAMBI-2467	Thermomonas	haemolytica	4
04CNB	HAMBI-2494	Paraburkholderia	kururiensis	527
04CNB	HAMBI-2659	Stenotrophomonas	maltophilia	6253
04CNB	HAMBI-2792	Moraxella	canis	29
04CNB	HAMBI-3031	Niabella	yanshanensis	1
04CNB	HAMBI-3172	Azospirillum	brasilense	123
04CNB	HAMBI-3237	Microvirga	lotononidis	11
04CNB	JE2571RP4	Escherichia	coli	48
04CNB	PsFluSBW25	Pseudomonas	fluorescens	2520
04CNC	HAMBI-0097	Acinetobacter	lwoffii	459
04CNC	HAMBI-0105	Agrobacterium	tumefaciens	230
04CNC	HAMBI-0216	Azorhizobium	caulinodans	0
04CNC	HAMBI-0262	Brevundimonas	bullata	75
04CNC	HAMBI-0403	Comamonas	testosteroni	4258
04CNC	HAMBI-1279	Hafnia	alvei	1802
04CNC	HAMBI-1287	Citrobacter	koseri	91511
04CNC	HAMBI-1292	Morganella	morganii	9200
04CNC	HAMBI-1299	Kluyvera	intermedia	32146
04CNC	HAMBI-1842	Sphingobium	yanoikuyae	4
04CNC	HAMBI-1874	Sphingobacterium	multivorum	17
04CNC	HAMBI-1896	Sphingobacterium	spiritivorum	14
04CNC	HAMBI-1923	Myroides	odoratus	1649
04CNC	HAMBI-1966	Chitinophaga	filiformis	1
04CNC	HAMBI-1972	Aeromonas	caviae	78348
04CNC	HAMBI-1988	Chitinophaga	sancti	8
04CNC	HAMBI-1992	Phyllobacterium	myrsinacearum	180
04CNC	HAMBI-2159	Paraburkholderia	caryophylli	48
